Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg20701183,ENSG00000143013,LMO4,-0,L1,7.453984277253933e-14,0.009900990099009901
cg19403323,ENSG00000143469,SYT14,87476,R1,1.67193670251607e-12,0.009900990099009901
cg12213388,ENSG00000143674,MLK4,-984182,L4,2.5276440428551655e-12,0.009900990099009901
cg26607897,ENSG00000143199,ADCY10,267784,R3,4.593609843776404e-12,0.009900990099009901
cg10574861,ENSG00000143013,LMO4,-0,L1,4.770161936039464e-12,0.009900990099009901
cg26607897,ENSG00000143147,GPR161,543156,R6,8.048248123511461e-12,0.009900990099009901
cg12213388,ENSG00000168275,COA6,4123,L1,8.92982180807094e-12,0.009900990099009901
cg00393673,ENSG00000143179,UCK2,302283,R5,3.2128940622774853e-11,0.009900990099009901
cg21686171,ENSG00000171603,CLSTN1,284653,R4,3.3792651498955274e-11,0.009900990099009901
cg12213388,ENSG00000116991,SIPA1L2,-1807772,L8,7.521930127628761e-11,0.009900990099009901
cg27428948,ENSG00000116991,SIPA1L2,-64445,L1,7.521930127628761e-11,0.009900990099009901
cg22016731,ENSG00000043514,TRIT1,-0,L1,1.1723779985283666e-10,0.009900990099009901
cg12427162,ENSG00000143196,DPT,466207,R5,1.497249704250567e-10,0.009900990099009901
cg00393673,ENSG00000152382,TADA1,1331262,R9,1.7327612625914557e-10,0.009900990099009901
cg18345456,ENSG00000136643,RPS6KC1,-727578,L2,3.5701263318552984e-10,0.009900990099009901
cg15687000,ENSG00000198756,COLGALT2,-1805428,L10,5.222616766212453e-10,0.009900990099009901
cg12213388,ENSG00000059588,TARBP1,21980,R1,7.263881019473754e-10,0.009900990099009901
cg12792264,ENSG00000198860,TSEN15,49173,R1,1.6002592869234216e-9,0.009900990099009901
cg11718886,ENSG00000116141,MARK1,1356514,R7,3.029854647195261e-9,0.009900990099009901
cg18437839,ENSG00000159166,LAD1,-76976,L4,3.029854647195261e-9,0.009900990099009901
cg12213388,ENSG00000183780,SLC35F3,-44814,L2,3.3161862570834164e-9,0.009900990099009901
cg22684969,ENSG00000198860,TSEN15,816020,R8,3.3161862570834164e-9,0.009900990099009901
cg12213388,ENSG00000135750,KCNK1,-696818,L3,3.7956231186390695e-9,0.009900990099009901
cg12213388,ENSG00000162885,B3GALNT2,1108159,R9,5.674257682014814e-9,0.009900990099009901
cg06358191,ENSG00000127054,CPSF3L,19825,R3,6.200814717898295e-9,0.009900990099009901
cg24446417,ENSG00000117595,IRF6,401007,R6,8.823490060314035e-9,0.009900990099009901
cg22153407,ENSG00000154429,CCSAP,-811047,L7,9.631558874835974e-9,0.009900990099009901
cg25312122,ENSG00000143315,PIGM,-182948,L8,2.826484743223204e-8,0.009900990099009901
cg27428948,ENSG00000168275,COA6,1747450,R7,2.9487287940130425e-8,0.009900990099009901
cg17936236,ENSG00000143162,CREG1,-0,L1,3.490971773737991e-8,0.009900990099009901
